#carbons/molecule,#hydrogens/molecule,# valence electrons / molecule,#bonds / molecule,#total particles/molecule,bonds/particle,molecular (nuclear) weight,entropy S (298K) (J/mol/K),entropy S (298K) (J/g/K),formation entropy Sf (298K) (J/mol/K),formation entropy Sf (298K) (J/g/K),formation enthalpy (298K) (kJ/mol),formation enthalpy (298K) (kJ/g),formation Gibbs (298K) (kJ/mol) (dG = dH – TdS),formation Gibbs (298K) (kJ/g) (dG = dH – TdS),formation free entropy (298K) (J/mol/K),formation free entropy (298K) (J/g/K),Standard molar entropy / mol of bonds (J / mol / K),standard molar entropy of formation per mol of bonds (298K) (J/mol/K),standard molar enthalpy of formation / mol of bonds (298K) (kJ/mol),standard molar free entropy of formation / mol of bonds (298K) (J/mol/K),standard molar entropy / mol of valence electrons (298K) (J/mol/K),Standard molar molar entropy of formation / mol of valence electrons (298K) (J/mol/K),Standard molar free entropy of formation per mol of valence electrons (298K) (J/mol/K),Standard molar enthalpy of formation / mol of valence electrons (298K) (kJ/mol),standard molar entropy / carbons (298K) (J/mol/K),standard molar entropy of formation / mol of carbon atoms (J/mol/K),standard molar enthalpy of formation / mol of carbon atoms (298K) (kJ/mol),Standard molar free entropy of formation / mol of carbon atoms (298K) (J/mol/K),standard molar entropy / mol of particles (298K) (J/mol/K),standard molar entropy of formation / mol of particles (298K) (J/mol/K),standard molar enthalpy of formation / mol of particles (298K) (kJ/mol),Standard molar free entropy of formation / mol of particles (298K) (J/mol/K),standard molar entropy / molar of hydrogen atoms (J/mol/K) (298K),standard molar entropy of formation / mol of hydrogen atoms (J/mol/K) (298K),standard molar enthalpy of formation / mol of hydrogen atoms,standard molar free entropy of formation / mol of hydrogen atoms,standard molar entropy / mol / nuclear weight (J / g / K),standard molar entropy of formation / mol / nuclear weight  (J / g / K),standard molar enthalpy of formation / mol / nuclear weight (kJ / g / K),standard molar free entropy of formation / mol / nuclear weight (J / g / K)
10,6,46,23,192,0.1197916667,126.16,374.7,2.97003804692454,-51.792,-0.410526315789474,25.6,0.20291693088142,41.034016,0.325253772986684,137.6980403,1.0914556142993,16.29130435,-2.251826087,1.113043478,5.986871316,8.145652174,-1.125913043,2.993435658,0.5565217391,37.47,-5.1792,2.56,13.76980403,1.9515625,-0.26975,0.1333333333,0.7171772931,62.45,-8.632,4.266666667,22.94967338,62.45,-8.632,4.266666667,22.94967338
10,8,48,24,196,0.1224489796,128.18,335.3,2.6158527071306,-91.192,-0.711437041660165,21.1,0.164612264003745,48.275216,0.376620502418474,161.9973691,1.26382718910907,13.97083333,-3.799666667,0.8791666667,6.74989038,6.985416667,-1.899833333,3.37494519,0.4395833333,33.53,-9.1192,2.11,16.19973691,1.710714286,-0.4652653061,0.1076530612,0.8265171894,41.9125,-11.399,2.6375,20.24967114,41.9125,-11.399,2.6375,20.24967114
10,7,47,23,194,0.118556701,127.17,352.3,2.77030746245184,-74.192,-0.583408036486593,21,0.165133286152394,43.109216,0.338988881025399,144.6617987,1.13754658095463,15.3173913,-3.22573913,0.9130434783,6.28964342,7.495744681,-1.578553191,3.07791061,0.4468085106,35.23,-7.4192,2.1,14.46617987,1.815979381,-0.3824329897,0.1082474227,0.7456793745,50.32857143,-10.59885714,3,20.66597124,50.32857143,-10.59885714,3,20.66597124
10,7,47,23,194,0.118556701,127.17,352.1,2.76873476448848,-74.392,-0.584980734449949,21,0.165133286152394,43.168816,0.339457545018479,144.8617987,1.13911927891798,15.30869565,-3.234434783,0.9130434783,6.298339072,7.491489362,-1.582808511,3.082165929,0.4468085106,35.21,-7.4392,2.1,14.48617987,1.814948454,-0.3834639175,0.1082474227,0.7467103024,50.3,-10.62742857,3,20.69454267,50.3,-10.62742857,3,20.69454267
12,8,56,28,232,0.1206896552,152.2,392,2.57555847568988,-34.492,-0.226622864651774,26.8,0.176084099868594,37.078616,0.243617713534823,124.4248859,0.817509105781866,14,-1.231857143,0.9571428571,4.443745925,7,-0.6159285714,2.221872963,0.4785714286,32.66666667,-2.874333333,2.233333333,10.36874049,1.689655172,-0.1486724138,0.1155172414,0.5363141634,49,-4.3115,3.35,15.55311074,49,-4.3115,3.35,15.55311074
12,7,55,27,230,0.1173913043,151.19,398.4,2.63509491368477,-28.092,-0.185805939546266,26.9,0.177921820226205,35.271416,0.233291990210993,118.3604564,0.782859027713473,14.75555556,-1.040444444,0.9962962963,4.383720607,7.243636364,-0.5107636364,2.152008298,0.4890909091,33.2,-2.341,2.241666667,9.863371365,1.732173913,-0.1221391304,0.1169565217,0.5146106799,56.91428571,-4.013142857,3.842857143,16.90863663,56.91428571,-4.013142857,3.842857143,16.90863663
12,8,56,28,232,0.1206896552,152.2,391,2.56898817345598,-35.492,-0.233193166885677,26.8,0.176084099868594,37.376616,0.245575663600526,125.4248859,0.824079408015769,13.96428571,-1.267571429,0.9571428571,4.479460211,6.982142857,-0.6337857143,2.239730105,0.4785714286,32.58333333,-2.957666667,2.233333333,10.45207383,1.685344828,-0.1529827586,0.1155172414,0.5406245082,48.875,-4.4365,3.35,15.67811074,48.875,-4.4365,3.35,15.67811074
12,7,55,27,230,0.1173913043,151.19,396.9,2.62517362259409,-29.592,-0.195727230636947,26.8,0.17726040082016,35.618416,0.23558711554997,119.5248859,0.79056079039619,14.7,-1.096,0.9925925926,4.426847626,7.216363636,-0.5380363636,2.173179744,0.4872727273,33.075,-2.466,2.233333333,9.960407159,1.725652174,-0.1286608696,0.1165217391,0.519673417,56.7,-4.227428571,3.828571429,17.0749837,56.7,-4.227428571,3.828571429,17.0749837
12,10,58,29,236,0.1228813559,154.22,405.9,2.63195435092725,-20.592,-0.133523537803138,28.2,0.182855660744391,34.336416,0.222645675009726,115.2228725,0.747133137725327,13.99655172,-0.7100689655,0.9724137931,3.973202499,6.998275862,-0.3550344828,1.98660125,0.4862068966,33.825,-1.716,2.35,9.60190604,1.719915254,-0.08725423729,0.1194915254,0.4882325105,40.59,-2.0592,2.82,11.52228725,40.59,-2.0592,2.82,11.52228725
12,9,57,28,234,0.1196581197,153.21,410.4,2.67867632661053,-16.092,-0.105032308596045,28,0.18275569479799,32.795416,0.214055322759611,110.0517315,0.718306451928725,14.65714286,-0.5747142857,1,3.930418984,7.2,-0.2823157895,1.930732132,0.4912280702,34.2,-1.341,2.333333333,9.170977629,1.753846154,-0.06876923077,0.1196581197,0.4703065451,45.6,-1.788,3.111111111,12.22797017,45.6,-1.788,3.111111111,12.22797017
14,8,64,32,268,0.1194029851,176.22,435.3,2.4702076949268,8.808,0.0499829758256725,32.7,0.185563500170242,30.075216,0.170668573374191,100.9235436,0.572713333333333,13.603125,0.27525,1.021875,3.153860738,6.8015625,0.137625,1.576930369,0.5109375,31.09285714,0.6291428571,2.335714286,7.208824545,1.624253731,0.03286567164,0.1220149254,0.3765803867,54.4125,1.101,4.0875,12.61544295,54.4125,1.101,4.0875,12.61544295
12,8,56,28,232,0.1206896552,152.2,359.9,2.3646517739816,-66.592,-0.437529566360053,23.5,0.154402102496715,43.344416,0.284785913272011,145.4510604,0.955657427069645,12.85357143,-2.378285714,0.8392857143,5.194680729,6.426785714,-1.189142857,2.597340364,0.4196428571,29.99166667,-5.549333333,1.958333333,12.1209217,1.551293103,-0.2870344828,0.1012931034,0.6269442259,44.9875,-8.324,2.9375,18.18138255,44.9875,-8.324,2.9375,18.18138255
12,7,55,27,230,0.1173913043,151.19,370.7,2.4518817382102,-55.792,-0.369019115020835,23.4,0.154772141014617,40.026016,0.264739837290826,134.3154899,0.888388715523513,13.72962963,-2.06637037,0.8666666667,4.974647775,6.74,-1.0144,2.442099817,0.4254545455,30.89166667,-4.649333333,1.95,11.19295749,1.61173913,-0.242573913,0.1017391304,0.583980391,52.95714286,-7.970285714,3.342857143,19.18792713,52.95714286,-7.970285714,3.342857143,19.18792713
14,8,64,32,268,0.1194029851,176.22,410.1,2.32720463057542,-16.392,-0.0930200885257065,29.3,0.166269435932357,34.184816,0.193989422313018,114.7141477,0.65097121609352,12.815625,-0.51225,0.915625,3.584817114,6.4078125,-0.256125,1.792408557,0.4578125,29.29285714,-1.170857143,2.092857143,8.193867689,1.530223881,-0.0611641791,0.1093283582,0.4280378644,51.2625,-2.049,3.6625,14.33926846,51.2625,-2.049,3.6625,14.33926846
14,7,63,31,266,0.1165413534,175.21,416.4,2.37657667941328,-10.092,-0.0575994520860682,29.3,0.16722789795103,32.307416,0.184392534672679,108.4141477,0.618766895154386,13.43225806,-0.3255483871,0.9451612903,3.497230569,6.60952381,-0.1601904762,1.720859487,0.4650793651,29.74285714,-0.7208571429,2.092857143,7.743867689,1.565413534,-0.03793984962,0.1101503759,0.4075719837,59.48571429,-1.441714286,4.185714286,15.48773538,59.48571429,-1.441714286,4.185714286,15.48773538
16,8,72,36,304,0.1184210526,200.24,454.6,2.27027566919696,28.108,0.140371554135038,35.3,0.176288453855374,26.923816,0.134457730723132,90.34837584,0.451200438673592,12.62777778,0.7807777778,0.9805555556,2.509677107,6.313888889,0.3903888889,1.254838553,0.4902777778,28.4125,1.75675,2.20625,5.64677349,1.495394737,0.09246052632,0.1161184211,0.2971986047,56.825,3.5135,4.4125,11.29354698,56.825,3.5135,4.4125,11.29354698
14,9,65,32,270,0.1185185185,177.23,429.1,2.42114766123117,2.608,0.0147153416464481,30.6,0.172656999379338,29.822816,0.168271827568696,100.0765638,0.564670562545845,13.409375,0.0815,0.95625,3.127392617,6.601538462,0.04012307692,1.539639442,0.4707692308,30.65,0.1862857143,2.185714286,7.148325983,1.589259259,0.009659259259,0.1133333333,0.3706539398,47.67777778,0.2897777778,3.4,11.1196182,47.67777778,0.2897777778,3.4,11.1196182
